,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
29,F,11.0,E,T,1.0,e,A,1.0,c0,3.44432238911142,19.26176155565676,5.797932998107916,226.5,130.0,257.50544473644226,4.416924613018377,380.3110498743055,0.0,0.0,80.0,4.0,1
30,A,8.0,E,Y,1.0,e,A,1.0,c0,4.817049439155456,35.996468332421095,7.384529636381849,624.0333333333333,90.0,221.55585181666612,3.7637006577128354,24.495808557233968,0.0,13.0,80.0,4.0,1
31,A,11.0,E,T,1.0,e,A,1.0,c0,5.300514037749006,56.837180194218256,7.981424757271646,1208.1266666666668,130.0,256.040352804424,3.4724084681892617,280.89750544750075,0.0,13.0,80.0,5.0,1
32,A,5.0,D,V,0.0,b,A,1.0,c0,2.406495560799009,25.593676225394578,5.7174832265725986,944.6533333333333,60.0,180.25533554371899,0.8999946256380387,114.82299543057582,0.0,0.0,80.0,4.0,0
33,C,12.0,E,T,1.0,e,A,1.0,c0,3.5197170226212404,15.118488217596743,6.186749468585584,2689.9266666666667,140.0,264.70842020278303,4.455406724030889,26.391138462487078,0.0,0.0,90.0,5.0,1
34,A,9.0,D,V,0.0,c,A,1.0,c0,2.6581622499224706,52.23574474268003,4.788039785401425,1336.0533333333333,120.0,250.0904484610932,2.89783841227698,51.9059646499734,0.0,0.0,80.0,2.0,0
35,A,10.0,D,V,0.0,a,A,1.0,c0,3.816987914184669,45.34330626871722,6.6397659107328275,1564.22,100.0,232.23454395569587,1.5313539651093848,81.77627649760353,0.0,0.0,80.0,4.0,0
36,A,13.0,E,T,1.0,e,B,1.0,?,4.536484120840085,5.80669040364262,6.882635872503524,821.16,160.0,279.2901536166073,3.0470658466386427,177.41015387642648,0.0,0.0,74.0,4.0,1
37,A,11.0,D,T,0.0,c,A,1.0,c0,2.4914671858406763,2.333428800434304,4.64782397222701,1717.8866666666668,130.0,258.0182826712212,4.323363351031009,254.9181422844412,0.0,0.0,80.0,6.0,0
39,A,11.0,E,O,1.0,f,A,0.0,c0,3.0595278715659733,-6.992504935636448,5.383424562779436,2110.7066666666665,130.0,256.97375577746925,4.423195597533228,347.7226732894095,0.0,0.0,80.0,4.0,0
40,E,10.0,E,Y,1.0,e,A,1.0,c0,3.5946575956730733,38.95485292942656,5.885682316775384,1271.7266666666667,100.0,230.30937690417758,2.5168790819854863,394.5964856542254,0.0,0.0,120.0,4.0,1
41,A,10.0,B,U,0.0,b,A,0.0,c0,4.747230537383602,18.03763521047933,7.433047403384888,636.9333333333333,100.0,232.30191382440984,1.9760117049460968,723.6688912996069,11.0,0.0,80.0,4.0,0
42,A,10.0,E,R,1.0,e,A,1.0,c0,4.6069562545437215,-17.129191587516587,7.091617931638643,1694.8666666666666,100.0,230.92348327941863,2.516833155055148,158.6694743545337,0.0,0.0,80.0,4.0,1
44,A,11.0,D,Y,0.0,a,A,1.0,c0,4.036000068055038,43.01612009477505,7.629705534186912,2343.84,130.0,257.2678119626156,5.6514880951206505,431.7680978522615,0.0,0.0,100.0,3.0,1
